good_surroundings,good_commute,good_raising,good_maintenance_cost,bad_maintenance_cost,uuid,apartment_uuid
,,,,7,reputation_141,apartment_1165010812
,,,,,reputation_128,apartment_1165010825
,,,6,2,reputation_102,apartment_1165010816
,,,,,reputation_98,apartment_1165010719
,,,,,reputation_22,apartment_1165010107
,,,,,reputation_111,apartment_1165010821
,,,,,reputation_100,apartment_1165010720
,,,,,reputation_57,apartment_1165010631
,,,58,,reputation_131,apartment_1165010818
,,9,,,reputation_49,apartment_1165010305
,,12,,,reputation_35,apartment_1165010202
,,,,,reputation_65,apartment_1165010637
,,30,,,reputation_19,apartment_1165010122
,,,53,1,reputation_138,apartment_1165010835
,,,,25,reputation_107,apartment_1165010806
,,,,40,reputation_119,apartment_1165010839
,,,4,,reputation_101,apartment_1165010716
,,,8,,reputation_88,apartment_1165010612
,,,,,reputation_27,apartment_1165010133
,,,,3,reputation_132,apartment_1165010823
,,,,,reputation_165,apartment_1165010129
,,,,,reputation_105,apartment_1165010822
,,11,,,reputation_67,apartment_1165010614
,,,,,reputation_7,apartment_1165010131
,,,,,reputation_8,apartment_1165010128
,,,,,reputation_29,apartment_1165010125
,10,,,,reputation_99,apartment_1165010712
,,,,,reputation_77,apartment_1165010607
,,,7,,reputation_63,apartment_1165010606
,,,26,,reputation_139,apartment_1165010837
,,11,34,,reputation_23,apartment_1165010101
,,,23,,reputation_122,apartment_1165010836
,,,,10,reputation_118,apartment_1165010826
,,,,,reputation_136,apartment_1165010838
,,,,,reputation_48,apartment_1165010306
,,,,,reputation_84,apartment_1165010636
,,,,,reputation_80,apartment_1165010628
,,,,,reputation_33,apartment_1165010203
,,,3,,reputation_14,apartment_1165010111
,,,,,reputation_79,apartment_1165010622
,,,,,reputation_30,apartment_1165010124
,,,19,,reputation_124,apartment_1165010847
,,,,,reputation_20,apartment_1165010121
,,,,,reputation_64,apartment_1165010605
,,,,,reputation_71,apartment_1165010630
,,7,,50,reputation_126,apartment_1165010824
,,,,,reputation_25,apartment_1165010132
,,,9,,reputation_9,apartment_1165010136
,,,,13,reputation_26,apartment_1165010127
,,,,,reputation_147,apartment_1165010832
,,,,,reputation_160,apartment_1165010834
,,,,,reputation_176,apartment_1165010649
,,,,,reputation_177,apartment_1165010705
,3,,,,reputation_53,apartment_1165010629
,,,,,reputation_83,apartment_1165010624
,,,,,reputation_3,apartment_1165010114
,,4,18,,reputation_10,apartment_1165010115
,,,,,reputation_175,apartment_1165010650
