area_use,area_supply,rooms,households,uuid,restrooms,space,management_fee_summer,area_supply_pyeong,floor_plan_url,management_fee_winter,management_fee_year,entrance,apartment_uuid
122.82,150.06,4,25,apartmenttype_49,2,150B㎡,nan,45,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9603&ptpId=3,nan,nan,계단식,apartment_1165010111
122.96,150.23,4,10,apartmenttype_50,2,150C㎡,nan,45,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9603&ptpId=4,nan,nan,계단식,apartment_1165010111
123.34,152.1,4,10,apartmenttype_51,2,152㎡,nan,46,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9603&ptpId=5,nan,nan,계단식,apartment_1165010111
80.2,98.62,3,144,apartmenttype_52,1,98㎡,206550.0,29,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=471&ptpId=1,197912.0,198157.0,계단식,apartment_1165010112
84.95,106.5,3,72,apartmenttype_53,1,106A㎡,218784.0,32,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=471&ptpId=4,208917.0,211152.0,복도식,apartment_1165010112
84.99,106.55,3,84,apartmenttype_54,1,106B㎡,218886.0,32,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=471&ptpId=2,209732.0,209992.0,복도식,apartment_1165010112
117.19,138.46,4,168,apartmenttype_55,2,138㎡,301816.0,41,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=471&ptpId=3,289193.0,289551.0,계단식,apartment_1165010112
59.9,78.51,3,66,apartmenttype_56,2,78A㎡,172131.0,23,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9035&ptpId=1,158817.0,161824.0,계단식,apartment_1165010113
84.91,106.49,3,152,apartmenttype_57,2,106㎡,244001.0,32,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9035&ptpId=3,225128.0,229390.0,계단식,apartment_1165010113
114.94,135.51,4,78,apartmenttype_58,2,135㎡,330297.0,41,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9035&ptpId=4,304749.0,310518.0,계단식,apartment_1165010113
134.04,164.49,4,86,apartmenttype_59,2,164㎡,nan,49,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=10495&ptpId=1,nan,nan,계단식,apartment_1165010114
157.55,191.55,4,36,apartmenttype_60,2,191㎡,nan,58,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=10495&ptpId=2,nan,nan,계단식,apartment_1165010114
84.32,114.5,3,40,apartmenttype_61,2,114A㎡,nan,34,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=18934&ptpId=1,nan,nan,계단식,apartment_1165010115
84.66,114.6,3,16,apartmenttype_62,2,114B㎡,nan,34,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=18934&ptpId=2,nan,nan,계단식,apartment_1165010115
125.58,155.01,4,70,apartmenttype_63,2,155㎡,nan,46,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=18934&ptpId=3,nan,nan,계단식,apartment_1165010115
157.56,199.17,4,12,apartmenttype_64,2,199㎡,nan,60,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=18934&ptpId=4,nan,nan,계단식,apartment_1165010115
59.97,84.27,3,83,apartmenttype_65,2,84B㎡,191671.0,25,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=2,144366.0,154570.0,계단식,apartment_1165010116
59.99,84.93,3,20,apartmenttype_66,2,84A㎡,191722.0,25,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=1,144405.0,154611.0,계단식,apartment_1165010116
84.91,109.67,3,165,apartmenttype_67,2,109C㎡,271378.0,33,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=5,204401.0,218848.0,계단식,apartment_1165010116
84.93,110.78,3,99,apartmenttype_68,2,110A㎡,271434.0,33,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=3,204443.0,218893.0,계단식,apartment_1165010116
84.97,110.09,3,65,apartmenttype_69,2,110B㎡,271568.0,33,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=4,204544.0,219001.0,계단식,apartment_1165010116
121.63,149.45,4,50,apartmenttype_70,2,149B㎡,388735.0,45,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=7,292793.0,313489.0,계단식,apartment_1165010116
121.65,151.33,3,53,apartmenttype_71,2,151A㎡,388805.0,45,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=6,292846.0,313545.0,계단식,apartment_1165010116
147.72,175.57,4,118,apartmenttype_72,2,175㎡,472105.0,53,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=8,355587.0,380721.0,계단식,apartment_1165010116
216.27,251.51,5,30,apartmenttype_73,3,251㎡,691198.0,76,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=9,520607.0,557405.0,계단식,apartment_1165010116
102.93,124.65,3,84,apartmenttype_74,2,124B㎡,250193.0,37,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11139&ptpId=2,234090.0,233010.0,계단식,apartment_1165010117
103.34,125.49,3,88,apartmenttype_75,2,125A㎡,251189.0,38,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11139&ptpId=1,235023.0,233938.0,계단식,apartment_1165010117
134.36,157.64,4,84,apartmenttype_76,2,157B㎡,326590.0,47,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11139&ptpId=4,305570.0,304160.0,계단식,apartment_1165010117
134.96,158.44,4,88,apartmenttype_77,2,158A㎡,328048.0,48,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11139&ptpId=3,306935.0,305518.0,계단식,apartment_1165010117
105.04,113.05,3,117,apartmenttype_78,1,113㎡,278314.0,34,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=470&ptpId=1,238994.0,245202.0,복도식,apartment_1165010118
164.55,179.02,5,52,apartmenttype_79,2,179㎡,435992.0,54,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=470&ptpId=4,295199.0,388417.0,계단식,apartment_1165010118
164.97,180.22,5,96,apartmenttype_80,2,180㎡,437105.0,54,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=470&ptpId=2,375351.0,385101.0,계단식,apartment_1165010118
185.46,202.95,6,216,apartmenttype_81,2,202㎡,491396.0,61,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=470&ptpId=3,421971.0,432932.0,계단식,apartment_1165010118
84.74,98.9,3,24,apartmenttype_82,2,98㎡,280097.0,29,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9657&ptpId=1,248410.0,317566.0,계단식,apartment_1165010119
124.56,145.38,4,56,apartmenttype_83,2,145㎡,411747.0,44,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9657&ptpId=2,365166.0,466827.0,계단식,apartment_1165010119
147.45,172.09,4,1,apartmenttype_84,2,172㎡,487387.0,52,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9657&ptpId=3,432249.0,552586.0,계단식,apartment_1165010119
149.22,174.16,4,141,apartmenttype_85,2,174㎡,493243.0,52,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9657&ptpId=4,437444.0,559226.0,계단식,apartment_1165010119
95.66,115.58,3,74,apartmenttype_86,2,115㎡,266894.0,35,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=1,259002.0,249972.0,계단식,apartment_1165010120
103.7,125.29,3,25,apartmenttype_87,2,125㎡,289326.0,37,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=2,280771.0,270982.0,계단식,apartment_1165010120
120.22,145.25,4,2,apartmenttype_88,2,145㎡,335417.0,44,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=3,325499.0,314151.0,계단식,apartment_1165010120
121.75,147.1,4,2,apartmenttype_89,2,147A㎡,339685.0,44,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=4,329642.0,318149.0,계단식,apartment_1165010120
124.27,150.14,4,58,apartmenttype_90,2,150B㎡,346716.0,45,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=5,336465.0,324734.0,계단식,apartment_1165010120
148.9,179.9,4,18,apartmenttype_91,2,179㎡,415435.0,54,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=6,403152.0,389096.0,계단식,apartment_1165010120
161.43,195.04,4,2,apartmenttype_92,2,195A㎡,450394.0,59,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=7,437077.0,421838.0,계단식,apartment_1165010120
161.59,195.23,4,2,apartmenttype_93,2,195B㎡,450840.0,59,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=8,437510.0,422256.0,계단식,apartment_1165010120
168.81,203.96,4,49,apartmenttype_94,2,203A㎡,470984.0,61,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=9,457058.0,441123.0,계단식,apartment_1165010120
169.08,204.28,4,49,apartmenttype_95,2,204B㎡,471737.0,61,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=10,457790.0,441829.0,계단식,apartment_1165010120
174.89,211.3,4,56,apartmenttype_96,2,211㎡,487947.0,64,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=11,473520.0,457011.0,계단식,apartment_1165010120
129.76,153.9,5,96,apartmenttype_97,2,153㎡,nan,46,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=948&ptpId=1,nan,nan,계단식,apartment_1165010121
181.6,196.29,5,88,apartmenttype_98,2,196㎡,nan,59,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=948&ptpId=3,nan,nan,계단식,apartment_1165010121
