latitude,longitude,altitude,geometry,uuid,name,lon,lat
37.4811214,126.9982734,,Point,235,이지스아카데미학원,126.9982734,37.4811214
37.5049688,127.0000133,,Point,236,한자365한문교습소,127.0000133,37.5049688
37.506106,127.0034252,,Point,237,양재우사회교습소,127.0034252,37.506106
37.4876674,127.0116421,,Point,238,호스코아카데미학원,127.0116421,37.4876674
37.4718519,127.0265924,,Point,239,신애음악학원,127.0265924,37.4718519
37.4865225,126.9870974,,Point,240,예음피아노교습소,126.9870974,37.4865225
37.5067454,127.0055318,,Point,241,와룡국어교습소,127.0055318,37.5067454
37.5155464,127.0171001,,Point,242,본스타트레이닝센터학원,127.0171001,37.5155464
37.4917141,126.991494,,Point,243,하이츠방배캠퍼스학원,126.991494,37.4917141
37.5010544,127.0243361,,Point,244,해커스어학원강남제6별관학원,127.0243361,37.5010544
37.4826442,126.9972242,,Point,245,심앤김국수시대학원,126.9972242,37.4826442
37.4922553,127.0259319,,Point,246,청어람국어교습소,127.0259319,37.4922553
37.4870263,126.9828163,,Point,247,베블렌수학학원,126.9828163,37.4870263
37.4840446,127.0126509,,Point,248,한국공급관리교육학원,127.0126509,37.4840446
37.4922553,127.0259319,,Point,249,동암한문교습소,127.0259319,37.4922553
37.4877162,126.9928708,,Point,250,시그마2수학학원,126.9928708,37.4877162
37.4911468,127.0248042,,Point,252,지니클리닉영어교습소,127.0248042,37.4911468
37.5000631,127.0113091,,Point,253,비아이에스어학원,127.0113091,37.5000631
37.5087922,127.0035592,,Point,254,잠원예랑미술학원,127.0035592,37.5087922
37.4831008,127.0075413,,Point,255,시매쓰학원,127.0075413,37.4831008
37.5039297,126.9901309,,Point,256,반포연세피아노교습소,126.9901309,37.5039297
37.4947733,126.9888745,,Point,257,역사사고력논술교습소,126.9888745,37.4947733
37.5033426,127.0101914,,Point,258,서초소마학원,127.0101914,37.5033426
37.5072738,127.0072892,,Point,259,이룸수학교습소,127.0072892,37.5072738
37.4733764,127.044458,,Point,260,클라라슈만음악학원,127.044458,37.4733764
37.4997174,127.0109178,,Point,261,가인학원,127.0109178,37.4997174
37.4942678,127.0186909,,Point,263,씨지앤아이(CGNI)게임그래픽학원,127.0186909,37.4942678
