uuid,name,type,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
restaurant_74684,서래부대찌개와 차돌구이,한식,서울특별시 서초구 반포동 94-2 지하 1층,POINT (126.9979132 37.4996258),4.5,pedestrian_11428490528,localroad_436853888
restaurant_74685,병천 순대,한식,서울특별시 서초구 서초동 1718-4 106호,POINT (127.0092329 37.4928553),4.1,pedestrian_3153680663,localroad_3153680663
restaurant_74686,청록담,일식,서울특별시 서초구 양재동 202번지 더케이서울호텔 지하1층,POINT (127.032646 37.46618),3.6,pedestrian_3738760116,localroad_3228035801
restaurant_74687,찰스 육회,한식,서울특별시 서초구 양재동 80-13 101호,POINT (127.0391679 37.4759556),3.5,pedestrian_436861032,localroad_436861032
restaurant_74688,톱 뉴스,호프/통닭,서울특별시 서초구 잠원동 38-3 (1층),POINT (127.0192961 37.5119785),4.5,pedestrian_2861578309,localroad_2861309349
restaurant_74689,완산골명가 남부터미널점,한식,서울특별시 서초구 서초동 1441-1 (지상1층),POINT (127.0217929 37.4853281),4.4,pedestrian_2655409198,localroad_2655409198
restaurant_74690,양산 박,한식,서울특별시 서초구 양재동 267번지 1층,POINT (127.0430497 37.4756537),4.4,pedestrian_3011650438,localroad_3011650438
restaurant_74691,카페킹,까페,서울특별시 서초구 서초동 1486-6번지 102호,POINT (127.0083534 37.4832518),4.4,pedestrian_3827337506,localroad_3827337506
restaurant_74692,개성집,한식,서울특별시 서초구 방배동 436-27번지 1층,POINT (126.9842452 37.4817134),3.6,pedestrian_1685686459,localroad_1685686459
restaurant_74693,HAPPY Beans(해피빈스),커피숍,서울특별시 서초구 서초동 1330-20번지 강남애니타워 101호,POINT (127.0282025 37.4941843),4.5,pedestrian_3825549669,localroad_3825549669
restaurant_74694,늘푸른 맛집,분식,"서울특별시 서초구 잠원동 69-19번지 반포쇼핑타운 7동 지층 5,6호",POINT (127.0072892 37.5072738),3.4,pedestrian_11428504914,localroad_8487538014
restaurant_74695,돈(豚) 굴러 오리,분식,서울특별시 서초구 양재동 371-1번지 1층,POINT (127.043826 37.4706231),3.3,pedestrian_3572149893,localroad_3572149893
restaurant_74696,은혜식당,한식,서울특별시 서초구 방배동 453-11번지 1층,POINT (126.9830413 37.4804416),4.6,pedestrian_4101372588,localroad_4101372588
restaurant_74697,제일호프,한식,서울특별시 서초구 서초동 1671-5번지 서초리시온 지상1층 108-2호,POINT (127.015434 37.4934028),4.6,pedestrian_3827548461,localroad_3827548461
restaurant_74698,갈비세상,한식,서울특별시 서초구 양재동 11-7,POINT (127.0358874 37.4840113),3.4,pedestrian_4184399722,localroad_4184399722
restaurant_74699,르지우(LeJIU),경양식,서울특별시 서초구 반포동 91-3 1층,POINT (126.9989145 37.4983188),2.6,pedestrian_2622713693,localroad_2622713693
restaurant_74701,양재박삼겹,한식,서울특별시 서초구 양재동 272-6 (1층),POINT (127.045011 37.475228),3.2,pedestrian_3011650433,localroad_3011650433
restaurant_74702,김부삼,한식,서울특별시 서초구 방배동 450-7,POINT (126.983608 37.4778334),4.7,pedestrian_4666832848,localroad_4666832848
restaurant_74703,원조 명동칼국수 서울성모병원점,한식,서울특별시 서초구 반포동 505 서울성모병원 본관 지하1층,POINT (127.0055284 37.5001768),4.9,pedestrian_1950794551,localroad_2622767637
restaurant_74704,댓짱 돈까스,경양식,서울특별시 서초구 방배동 1031-1번지 (1층),POINT (126.9992349 37.4785435),2.7,pedestrian_3462555794,localroad_3462555794
restaurant_74705,코치 찰리,까페,서울특별시 서초구 서초동 1315번지 진흥상가 104호,POINT (127.0226773 37.4972924),2.6,pedestrian_3112192873,localroad_10220955583
restaurant_74706,일일향 강남점,중국식,"서울특별시 서초구 서초동 1327-1번지 ,2호~4호,25호,50호 3층",POINT (127.0273339 37.495763),5,pedestrian_3825549699,localroad_3825549699
restaurant_74707,피엠푸드 서초우면점,패밀리레스트랑,서울특별시 서초구 우면동 717번지 서초네이처힐 3단지 상가1층 106호,POINT (127.0275223 37.4646512),4.4,pedestrian_6584256131,localroad_9047231556
restaurant_74708,Zeppelin(제플린),호프/통닭,서울특별시 서초구 서초동 1302-45번지 양정빌딩 가호 지하1층,POINT (127.0228835 37.5031689),4.1,pedestrian_8495297507,localroad_1430655015
restaurant_74709,랜돌프비어 강남점,기타,서울특별시 서초구 서초동 1307-16 지하 1층,POINT (127.0250816 37.5002497),4.5,pedestrian_1430655025,localroad_4944067989
restaurant_74710,샘밭막국수,한식,"서울특별시 서초구 서초동 1685-8 지하1층 108호,111호",POINT (127.0164141 37.4954113),2.5,pedestrian_4833838769,localroad_3112174494
restaurant_74711,동대문엽기떡볶이 반포점,분식,서울특별시 서초구 반포동 706-6번지 101호,POINT (127.0207301 37.5104406),4.5,pedestrian_3827672554,localroad_3827672554
restaurant_74712,정담남원추어탕,한식,서울특별시 서초구 방배동 926-27번지 1층,POINT (126.9949085 37.4841654),4.4,pedestrian_1696934741,localroad_1696934741
restaurant_74713,온새미 한정식,한식,서울특별시 서초구 서초동 1542-1 동일하이빌 2층 212호~219호,POINT (127.0082769 37.4916039),4.5,pedestrian_7888195567,localroad_7888195561
restaurant_74714,장모사랑,한식,서울특별시 서초구 양재동 13-9번지 프렌닥터 지하1층 101호,POINT (127.0362359 37.4832933),4.1,pedestrian_1694783202,localroad_1694783202
restaurant_74715,미미치킨,통닭(치킨),서울특별시 서초구 방배동 898-1번지,POINT (126.9942979 37.4875391),4.8,pedestrian_4185805734,localroad_4185805734
restaurant_74716,돈키,경양식,서울특별시 서초구 방배동 437-4 1층,POINT (126.983227 37.4825877),4,pedestrian_4185991288,localroad_4185991288
restaurant_74717,서초곰탕24시,한식,서울특별시 서초구 서초동 1451-77,POINT (127.0129179 37.4818033),2.6,pedestrian_1430679233,localroad_1430679233
restaurant_74718,(주)보나비 아티제 잠원2점,까페,서울특별시 서초구 잠원동 65-32 신반포중앙쇼핑센터상가 1층 101호,POINT (127.0079573 37.5123433),3.5,pedestrian_8487511347,localroad_4147056027
restaurant_74719,라밥(LABAB)방배점,한식,서울특별시 서초구 방배동 909-8,POINT (126.9969572 37.4814706),3,pedestrian_1696934704,localroad_1696934704
restaurant_74720,공준호 힘찬낙지,한식,서울특별시 서초구 양재동 264-12번지 1층,POINT (127.0428332 37.4757871),3.6,pedestrian_3011650438,localroad_3011650438
restaurant_74721,선향정샤브샤브,한식,"서울특별시 서초구 서초동 1321-9번지 풍림아이원매직 2층 202호,203호",POINT (127.0255708 37.4956764),4.3,pedestrian_9623430990,localroad_2690624940
restaurant_74722,만다린,중국식,서울특별시 서초구 서초동 1338-10번지 3층전체,POINT (127.0298586 37.4911704),2.6,pedestrian_3825549661,localroad_3825549661
restaurant_74724,봉산옥,한식,"서울특별시 서초구 서초동 1451-8 (102호, B102호)",POINT (127.0124674 37.4833853),4.8,pedestrian_8487678284,localroad_8487678284
restaurant_74725,식영정,한식,서울특별시 서초구 양재동 327-9,POINT (127.0411664 37.4690787),4.6,pedestrian_4184585520,localroad_4184585520
restaurant_74726,포에버(Forever),호프/통닭,서울특별시 서초구 서초동 1625-1번지,POINT (127.0155564 37.4883849),4.2,pedestrian_9602018607,localroad_3827258659
restaurant_74727,한국순대,한식,서울특별시 서초구 양재동 5-22 (1층),POINT (127.0397306 37.4788075),4.8,pedestrian_436843482,localroad_436843482
