uuid,node1_uuid,node2_uuid,distance,average_travel_time,geometry
localroad_6789,localroad_4186016192,localroad_3804191191,50.419,0.18907125,"MultiLineString ((126.9832626 37.4882877, 126.9831596 37.4878417))"
localroad_6790,localroad_4186016192,localroad_4186016193,141.186,0.564744,"MultiLineString ((126.9832626 37.4882877, 126.9832331 37.4886708, 126.983284 37.4892624, 126.9833082 37.4895547))"
localroad_6791,localroad_4186016192,localroad_3804191207,73.213,0.244043333,"MultiLineString ((126.9832626 37.4882877, 126.9830197 37.4883706, 126.9824713 37.4884797))"
localroad_6792,localroad_4186016193,localroad_3804191223,52.418,0.157254,"MultiLineString ((126.9833082 37.4895547, 126.9827142 37.4895455))"
localroad_6793,localroad_4186016193,localroad_4186016192,141.186,0.423558,"MultiLineString ((126.9833082 37.4895547, 126.983284 37.4892624, 126.9832331 37.4886708, 126.9832626 37.4882877))"
localroad_6794,localroad_4186016193,localroad_3804191235,159.317,0.477951,"MultiLineString ((126.9833082 37.4895547, 126.9845402 37.4895787, 126.9847946 37.4899864))"
localroad_6795,localroad_4186026790,localroad_4634816384,26.1,0.082421053,"MultiLineString ((127.0184179 37.459235, 127.0182372 37.4594208))"
localroad_6796,localroad_4186026790,localroad_846808604,86.81,0.306388235,"MultiLineString ((127.0184179 37.459235, 127.0187257 37.4593387, 127.0192446 37.4596483))"
localroad_6797,localroad_4186026790,localroad_4662808659,460.04,1.38012,"MultiLineString ((127.0184179 37.459235, 127.0187839 37.4594558, 127.0193821 37.4598183, 127.0196595 37.4599502, 127.0198099 37.4600136, 127.0200603 37.4600987, 127.0204824 37.4602085, 127.020948 37.4602859, 127.0214409 37.4603335, 127.0228966 37.4602841"
localroad_6798,localroad_4186026790,localroad_3634017636,346.338,1.039014,"MultiLineString ((127.0184179 37.459235, 127.0175589 37.4585517, 127.0168539 37.4579909, 127.0163508 37.4576899, 127.0161523 37.4576196, 127.0159433 37.457569, 127.0154686 37.4574818, 127.015313 37.4574685))"
localroad_6799,localroad_4186026817,localroad_4634816384,747.316,2.802435,"MultiLineString ((127.0122579 37.4621928, 127.0121038 37.4623811, 127.0121007 37.4624716, 127.0121685 37.4626477, 127.0123102 37.46277, 127.0124705 37.4628213, 127.0126769 37.4628018, 127.0128217 37.4627284, 127.0130528 37.4626428, 127.0133301 37.4626086"
localroad_6800,localroad_4195788589,localroad_2533109206,24.763,0.09286125,"MultiLineString ((126.9828701 37.4937761, 126.9828711 37.4939988))"
localroad_6801,localroad_4278630694,localroad_734790094,40.224,0.15084,"MultiLineString ((127.0359469 37.4608203, 127.0363501 37.4606517))"
