uuid,type,name,address,geometry,pedestrian_entrance_uuid,vehicle_entrance_uuid
daycare_1624,국공립,서초구립 포레스타7단지어린이집,서울특별시 서초구 청계산로11길 7-12 708동 1층,POINT (127.0570365 37.4485362),pedestrian_3547291974,localroad_3547291974
daycare_1626,국공립,서초구립방배열린어린이집,서울특별시 서초구 방배로 173 방배열린문화센터 내 1층,POINT (126.9922896 37.4888916),pedestrian_2510022118,localroad_2510022118
daycare_1654,직장,현대양재어린이집,서울특별시 서초구 염곡말길 17-6,POINT (127.0521383 37.4623282),pedestrian_4314799306,localroad_4314799306
daycare_1655,가정,바른아이어린이집,"서울특별시 서초구 양재대로2길 90 208동 105호(우면동, LH스타힐스)",POINT (127.0176108 37.456703),pedestrian_3634017639,localroad_3634017639
daycare_1678,국공립,서초구립네이처힐6단지어린이집,서울특별시 서초구 태봉로2길 30 네이처힐6단지 601동 1층,POINT (127.0270373 37.461079),pedestrian_6584407456,localroad_8236557405
daycare_1679,국공립,서초구립네이처힐1단지어린이집,서울특별시 서초구 형촌길 35 네이처힐1단지 109동 1층,POINT (127.0199968 37.4635528),pedestrian_6584295633,localroad_4634773821
daycare_1717,국공립,서초구립하나푸르니반포어린이집,서울특별시 서초구 서초중앙로33길 10 반포4동,POINT (127.0107493 37.5013469),pedestrian_4185626654,localroad_4185626654
daycare_1724,국공립,서초구립네이처힐3단지어린이집,"서울특별시 서초구 태봉로2길 60 307동 1층(우면동, 서초네이처힐)",POINT (127.0270901 37.4648549),pedestrian_6584256127,localroad_4097245239
daycare_1754,민간,키즈랜드어린이집,서울특별시 서초구 양재대로2길 90 서초보금자리2단지 관리동,POINT (127.0176108 37.456703),pedestrian_3634017639,localroad_3634017639
daycare_1872,가정,은혜어린이집,서울특별시 서초구 마방로10길 54-19 (양재동),POINT (127.0441811 37.4746987),pedestrian_4309772426,localroad_4309772426
daycare_1896,가정,초록어린이집,서울특별시 서초구 명달로20길 33 진흥골든빌라101호(서초동),POINT (127.0059743 37.4861602),pedestrian_3827337556,localroad_3827337556
daycare_1909,가정,자연닮은꼬마숲어린이집,"서울특별시 서초구 사임당로23길 58 301동 105호(서초동, 현대3차아파트)",POINT (127.0212918 37.4925414),pedestrian_8489546192,localroad_3800522731
daycare_1920,국공립,서초구립신반포어린이집,서울특별시 서초구 신반포로19길 26 신반포중학교 내 복합관,POINT (126.9961026 37.5056205),pedestrian_3088423804,localroad_3088423804
daycare_1927,민간,산성몬테소리어린이집,서울특별시 서초구 사평대로 253,POINT (127.0110144 37.5052597),pedestrian_11428490530,localroad_846808242
daycare_1934,가정,도담어린이집,서울특별시 서초구 태봉로2길 65 네이처힐4단지 관리동 1층,POINT (127.0262924 37.4636048),pedestrian_6584407684,localroad_3744265307
