uuid,type,name,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
hospital_875,기타,연세봄의원,"서울특별시 서초구 방배로 174, 3층 (방배동, 내방빌딩)",POINT (126.993061 37.48918282),4.1,pedestrian_2103868103,localroad_2103868103
hospital_878,기타,연세사랑병원,"서울특별시 서초구 남부순환로 2205, 지하4층~지상6층 (방배동)",POINT (126.9937309 37.4740487),2.9,pedestrian_5406500151,localroad_5406500151
hospital_882,기타,연세셀즈의원,"서울특별시 서초구 서초대로 302, 교대역인앤인오피스 11층 (서초동)",POINT (127.0146952 37.49371886),3.5,pedestrian_9914441878,localroad_3827548465
hospital_1379,기타,연세에스재활의학과의원,"서울특별시 서초구 강남대로53길 7, 6층 (서초동)",POINT (127.0281406 37.49422734),3.4,pedestrian_3825549669,localroad_3825549669
hospital_895,기타,연세의원,"서울특별시 서초구 잠원로 148, 206호 (잠원동, 잠원연합상가)",POINT (127.0100635 37.51626448),4.9,pedestrian_8488872314,localroad_2861410666
hospital_908,기타,연세청아린의원,"서울특별시 서초구 서초중앙로24길 27, G5센트럴프라자 2층 227호 (서초동)",POINT (127.0164023 37.495411),3.8,pedestrian_4833838769,localroad_3112174494
hospital_897,기타,연세탑뷰티의원,"서울특별시 서초구 동작대로 118, 5층 502호 (방배동)",POINT (126.9827445 37.4870042),3.4,pedestrian_11710856345,localroad_3804191182
hospital_1392,기타,연세탑의원,"서울특별시 서초구 신반포로 157, 1동 3층 (잠원동, 반포쇼핑상가)",POINT (127.0014605 37.50551339),4.7,pedestrian_11428504925,localroad_1445606439
hospital_913,기타,연세휴가정의학과의원,"서울특별시 서초구 사임당로 158, 리더스원 상가 208,223-1,302,304호 (서초동)",POINT (127.0271768 37.4918503),3.7,pedestrian_9621002259,localroad_2280599507
hospital_1393,기타,연세휴가정의학과의원,"서울특별시 서초구 사임당로 158, 리더스원 상가 2,3층 208,302,304호 (서초동)",POINT (127.0271768 37.4918503),4.4,pedestrian_9621002259,localroad_2280599507
hospital_1381,기타,염창환병원,"서울특별시 서초구 서초중앙로 148, 희성빌딩 5,6,9층 (서초동)",POINT (127.0137779 37.4949993),2.9,pedestrian_3827548480,localroad_3827548480
hospital_916,기타,영의원,"서울특별시 서초구 사평대로 360, 양지빌딩 202호 (서초동)",POINT (127.022399 37.50354366),2.7,pedestrian_12061682134,localroad_2281095534
hospital_941,기타,오네뜨의원,"서울특별시 서초구 강남대로 439, 유화빌딩 12층 (서초동)",POINT (127.0253666 37.50154346),3.1,pedestrian_4867295786,localroad_1430655018
hospital_1383,기타,오르셀의원,"서울특별시 서초구 강남대로 623, 잠원동 우일빌딩 7층 (잠원동)",POINT (127.0187331 37.51740815),2.9,pedestrian_9891988044,localroad_600377854
hospital_947,기타,오션의원,"서울특별시 서초구 강남대로 363, 363강남타워 6,7층 (서초동)",POINT (127.028453 37.49510696),3,pedestrian_4865883252,localroad_571448678
hospital_959,기타,옥건헤어라인의원,"서울특별시 서초구 강남대로 535, 6층 (반포동, 프린스빌딩)",POINT (127.0215987 37.50960902),3.7,pedestrian_3827672541,localroad_3827672541
hospital_968,기타,온트재활의학과의원,"서울특별시 서초구 강남대로53길 12, 솔라티움시티 강남 302~305,309호 (서초동)",POINT (127.0277051 37.49439318),3.9,pedestrian_9835273091,localroad_2932859105
hospital_970,기타,올림피움채움올피채의원,"서울특별시 서초구 서초대로77길 24, 강남 지웰타워2 10층 (서초동)",POINT (127.0259916 37.50002099),4.5,pedestrian_11183748448,localroad_2280678683
hospital_971,기타,올바로병원,"서울특별시 서초구 명달로 102, 서원빌딩 1-6층 (서초동)",POINT (127.0043863 37.4862288),4.6,pedestrian_3827337555,localroad_3827337555
hospital_972,기타,올바른의원,"서울특별시 서초구 방배로 162, 예광빌딩 3층 (방배동)",POINT (126.9936937 37.48854899),4.6,pedestrian_2623456118,localroad_2623456118
hospital_977,기타,와이케이가정의학과의원,"서울특별시 서초구 잠원로 24, 반포자이플라자 304호 (반포동)",POINT (127.0098732 37.5071157),2.9,pedestrian_11738027546,localroad_11738027546
hospital_991,기타,우면365의원,"서울특별시 서초구 중앙로 582, 서초타워 302호 (우면동)",POINT (127.015322 37.45714408),2.5,pedestrian_3634017623,localroad_3634017636
hospital_994,기타,우면힐가정의학과의원,"서울특별시 서초구 태봉로 62, 304호 (우면동, 네이처프라자)",POINT (127.0249976 37.46405707),3.6,pedestrian_3744265308,localroad_3744265302
hospital_1004,기타,원마취통증의학과의원,"서울특별시 서초구 반포대로 291, 원베일리 스퀘어 5층 542~545호 (반포동)",POINT (126.999481 37.50490207),3.3,pedestrian_11641439376,localroad_11641439376
hospital_1008,기타,웨이브의원,"서울특별시 서초구 강남대로 557, 성한빌딩 7층 (잠원동)",POINT (127.0206407 37.51154094),4.9,pedestrian_2477374753,localroad_2429722067
hospital_1010,기타,웰빙마취통증의학과의원,"서울특별시 서초구 서초중앙로 15, 상가동 2층 206호 (서초동, 현대슈퍼빌)",POINT (127.0156416 37.48301089),4.1,pedestrian_4185690190,localroad_4185690190
hospital_1011,기타,웰빙의원,"서울특별시 서초구 강남대로 455, 302호(서초동,데시앙루브)",POINT (127.0245439 37.50285946),3.3,pedestrian_1430655018,localroad_1430655018
hospital_990,기타,웰스킨의원,서울특별시 서초구 신반포로 213 반포쇼핑타운 7동 1층 (잠원동),POINT (127.0072709 37.50727104),3,pedestrian_11428504914,localroad_8487538014
hospital_1012,기타,웰스킨의원,"서울특별시 서초구 반포대로 291, 원베일리 스퀘어 5층 531~534호 (반포동)",POINT (126.999481 37.50490207),4.9,pedestrian_11641439376,localroad_11641439376
hospital_1015,기타,위드셀의원,"서울특별시 서초구 서초대로 397, 부띠크 모나코 3층 302호 (서초동)",POINT (127.0245168 37.49743406),4.6,pedestrian_4959609720,localroad_436854331
hospital_1017,기타,위즈미여성의원,"서울특별시 서초구 강남대로 455, 301호 (서초동, 태영데시앙)",POINT (127.0245439 37.50285946),4.8,pedestrian_1430655018,localroad_1430655018
hospital_1028,기타,유미노의원,"서울특별시 서초구 서초대로78길 52, 강남역 인앤인 3층 (서초동)",POINT (127.0286855 37.49321515),3.1,pedestrian_9608955329,localroad_3825549664
hospital_1033,기타,유앤미의원,"서울특별시 서초구 강남대로 415, 14층 (서초동, 대동빌딩)",POINT (127.0263398 37.4995604),3.7,pedestrian_4946614556,localroad_2280678683
hospital_1034,기타,유앤아이(YOU&I)의원서초점,"서울특별시 서초구 방배천로2길 10, JBI빌딩 8층 (방배동)",POINT (126.983297 37.47674089),2.7,pedestrian_4078144569,localroad_4185991281
hospital_1037,기타,유의원,"서울특별시 서초구 서초대로78길 26, 3층 (서초동)",POINT (127.0277266 37.49536221),2.9,pedestrian_9711448918,localroad_571448492
hospital_1412,기타,유픽의원,"서울특별시 서초구 강남대로 403, 5층 (서초동)",POINT (127.0268157 37.49845756),4.5,pedestrian_3104898429,localroad_3101791329
hospital_1052,기타,의료법인녹십자의료재단녹십자아이메드강남의원,"서울특별시 서초구 서초대로38길 12, 4,5층 (서초동, 마제스타시티 타워원)",POINT (127.0053824 37.49049494),5,pedestrian_5799969253,localroad_3827338133
hospital_1413,기타,의료법인명경의료재단메디플라워헬스케어의원,"서울특별시 서초구 서초중앙로 110, 3~5층 (서초동, 서초동롯데캐슬메디치)",POINT (127.0145236 37.4915898),4.7,pedestrian_2295372310,localroad_2295372310
hospital_1055,기타,의료법인부원의료재단서초요양병원,서울특별시 서초구 반포대로9길 42 (서초동),POINT (127.0093523 37.48312715),3.9,pedestrian_1430674297,localroad_1430674297
hospital_1057,기타,의료법인성광의료재단스포렉스의원,"서울특별시 서초구 서초대로70길 32, 4층 (서초동)",POINT (127.0234303 37.49390576),3.1,pedestrian_9822008785,localroad_3800522741
hospital_1058,기타,의료법인참예원의료재단서초참요양병원,"서울특별시 서초구 양재대로 54, 지1,2층, 2~9층 (우면동, 서초참병원)",POINT (127.0253605 37.45976394),2.7,pedestrian_3634016488,localroad_3634016488
hospital_1059,기타,의료법인청해의료재단제일병원,서울특별시 서초구 서초대로 116 (방배동),POINT (126.9950527 37.48782915),4,pedestrian_2623456313,localroad_2623456313
hospital_1062,기타,이건목원리한방병원,"서울특별시 서초구 동작대로 196, 1~3층 (방배동)",POINT (126.9831485 37.49410898),3.3,pedestrian_2533109206,localroad_2533109206
hospital_1072,기타,이레가정의학과의원,"서울특별시 서초구 청계산로 10, 농협하나로클럽 2층 (양재동)",POINT (127.0435302 37.4632288),4.8,pedestrian_3793131879,localroad_2817764747
hospital_1077,기타,이립마취통증의학과의원,"서울특별시 서초구 강남대로51길 1, 511 TOWER 3층 (서초동)",POINT (127.0302638 37.49128768),2.5,pedestrian_4865883235,localroad_3825549662
hospital_1085,기타,이성윤의원,서울특별시 서초구 바우뫼로7길 8,POINT (127.0253831 37.47085595),4.4,pedestrian_4634856427,localroad_4634856427
hospital_1091,기타,이승남강남베스트의원,"서울특별시 서초구 서초대로 250, 6층 (일부) (서초동)",POINT (127.0091746 37.49197759),4.8,pedestrian_3827338155,localroad_3827338155
hospital_1406,기타,이에스강남의원,"서울특별시 서초구 강남대로 419, 파고다타워 B2, 10, 11층 (서초동)",POINT (127.0262108 37.49980073),2.7,pedestrian_4946614556,localroad_2280678683
hospital_1107,기타,이정훈의원,"서울특별시 서초구 동광로 75, 28호 (방배동)",POINT (126.9906453 37.49306933),4.4,pedestrian_414684380,localroad_414684380
hospital_1108,기타,이지브레인의원,"서울특별시 서초구 서초대로74길 23, 206~207호 (서초동, 서초타운트라팰리스)",POINT (127.027091 37.49561193),4.6,pedestrian_3825549699,localroad_3825549699
hospital_1426,기타,이형빈가정의학과의원,"서울특별시 서초구 서초대로 389, 2층 1-1호 (서초동, 진흥상가)",POINT (127.0236652 37.49708113),2.5,pedestrian_9625915009,localroad_436854331
hospital_1121,기타,이화가정의원,"서울특별시 서초구 반포대로 93, 해은빌딩 3층 303호 (서초동)",POINT (127.0087293 37.48845018),3.1,pedestrian_3089166485,localroad_3089166485
hospital_1428,기타,이효진여성의원,"서울특별시 서초구 신반포로 219, 반포쇼핑타운 8동 401호 (잠원동)",POINT (127.0080653 37.50751219),3.7,pedestrian_4147017218,localroad_4147017218
hospital_1139,기타,잇츠비의원,"서울특별시 서초구 강남대로 455, 2층 204호 (서초동, 강남태영데시앙루브)",POINT (127.0245439 37.50285946),3,pedestrian_1430655018,localroad_1430655018
hospital_1155,기타,장덕한방병원,"서울특별시 서초구 서초중앙로 42, 블루핀타워 지하2층,지하1층,1층,2층,3층 동 (서초동)",POINT (127.0162578 37.48586565),2.8,pedestrian_3827258463,localroad_3827258463
hospital_1163,기타,재단법인동국한방병원,서울특별시 서초구 방배로 186 (방배동),POINT (126.9923817 37.49026263),3.7,pedestrian_2509978199,localroad_2509978199
hospital_1164,기타,재단법인정해산업보건연구소중앙의원,"서울특별시 서초구 강남대로101안길 36, 2층 (잠원동)",POINT (127.0168272 37.5160745),4.7,pedestrian_600377839,localroad_600377858
hospital_1169,기타,정가정의원,"서울특별시 서초구 남부순환로 2614, 305호 (양재동, 한솔로이젠트)",POINT (127.0366745 37.48447416),2.7,pedestrian_11431861685,localroad_4184399727
hospital_1130,기타,제이디의원,"서울특별시 서초구 강남대로 621, 10층 (잠원동, K TOWER)",POINT (127.0187886 37.5171318),3,pedestrian_600377854,localroad_600377854
hospital_1189,기타,제이엠가정의학과의원,"서울특별시 서초구 서초중앙로24길 27, G5센트럴프라자 210호, 228호 (서초동)",POINT (127.0164023 37.495411),2.5,pedestrian_4833838769,localroad_3112174494
hospital_1123,기타,젤코바마취통증의학과의원,"서울특별시 서초구 서초대로 331, 정우빌딩 5층 (서초동)",POINT (127.017636 37.49514889),4.9,pedestrian_12062647563,localroad_3112865086
hospital_1409,기타,젤코바마취통증의학과의원,"서울특별시 서초구 서초대로 331, 정우빌딩 5층 (서초동)",POINT (127.0176363 37.49515016),4.8,pedestrian_12062647563,localroad_3112865086
hospital_1201,기타,좋은세상제암의원,"서울특별시 서초구 방배로 115, 3층 (방배동, 방배병원)",POINT (126.9954054 37.48439209),4.5,pedestrian_1696934743,localroad_1696934743
hospital_1202,기타,주스의원,"서울특별시 서초구 서초대로78길 26, 강남선인빌딩 4층 (서초동)",POINT (127.0277266 37.49536221),3.5,pedestrian_9711448918,localroad_571448492
hospital_1204,기타,주인숙의원,"서울특별시 서초구 방배로 269, 120호 (방배동, 삼호상가)",POINT (126.9877434 37.49665489),4.7,pedestrian_2624211522,localroad_2533109226
hospital_1455,기타,지에이치의원,"서울특별시 서초구 반포대로 235, 지하1층 (반포동)",POINT (127.0032572 37.50066865),4.2,pedestrian_2623317259,localroad_7888119745
hospital_1197,기타,지올의원,"서울특별시 서초구 강남대로 589, 1101호 (잠원동)",POINT (127.0193864 37.51444068),4.7,pedestrian_4181527974,localroad_4181527974
hospital_1457,기타,지젤의원,"서울특별시 서초구 서초중앙로24길 16, 7층 (서초동)",POINT (127.0152543 37.49466818),3.1,pedestrian_3112174493,localroad_3112174493
hospital_1459,기타,지흡멘토의원,"서울특별시 서초구 서초대로77길 17, BLOCK77 7층 703, 704호 (서초동)",POINT (127.0257524 37.4995536),4.3,pedestrian_12061673705,localroad_4944067989
hospital_1469,기타,참포도나무병원,서울특별시 서초구 바우뫼로35길 32 (양재동),POINT (127.0386803 37.47992892),3.2,pedestrian_9401104926,localroad_8497282641
hospital_1470,기타,참푸른병원,"서울특별시 서초구 방배로 223, 창생빌딩 2~7층 (방배동)",POINT (126.9899541 37.49304269),3.4,pedestrian_2622874627,localroad_414684380
hospital_1471,기타,채널플러스의원,"서울특별시 서초구 강남대로 509, 7층 (반포동)",POINT (127.0224916 37.50764457),4,pedestrian_3827672469,localroad_3827672469
hospital_1472,기타,척바른병원,"서울특별시 서초구 방배로 151, 지하1층일부,2~5층 (방배동)",POINT (126.9935602 37.48715828),4.3,pedestrian_2110270505,localroad_2110270505
hospital_1474,기타,첫단추의원,"서울특별시 서초구 강남대로 483, 청호빌딩 12층 (반포동)",POINT (127.0236489 37.50532543),3.2,pedestrian_2477265747,localroad_2477265747
hospital_1427,기타,청계산트리니티의원,"서울특별시 서초구 원터2길 4, 2층 (원지동)",POINT (127.0564079 37.44425613),2.8,pedestrian_6089311294,localroad_6089311294
hospital_1464,기타,청계산트리니티의원,"서울특별시 서초구 원터2길 7, 1층 (원지동)",POINT (127.0560948 37.44399931),3.5,pedestrian_6205230875,localroad_6205230875
hospital_1481,기타,청담슬림의원,"서울특별시 서초구 강남대로 563, 2층 (잠원동)",POINT (127.0204315 37.51194616),2.5,pedestrian_9892111595,localroad_2429722067
hospital_1498,기타,최인석의원,"서울특별시 서초구 신반포로47길 9-6, 3층 (잠원동)",POINT (127.0193206 37.51126131),3.2,pedestrian_2861309352,localroad_2861309353
hospital_1501,기타,카모마일의원,"서울특별시 서초구 효령로74길 4, 4층 (서초동, 우담빌딩)",POINT (127.0265215 37.48776186),2.6,pedestrian_9608955234,localroad_3827170317
