uuid,name,geometry,pedestrian_entrance_uuid,vehicle_entrance_uuid
citybusstop_8702,신논현역.인터파크,POINT (127.0252427 37.5021717),pedestrian_12061673707,localroad_1430655018
citybusstop_8703,신논현역.씨티은행,POINT (127.0249635 37.5027683),pedestrian_11034183378,localroad_1430655018
citybusstop_8704,신논현역.구교보타워사거리,POINT (127.0250021 37.5028878),pedestrian_11034183378,localroad_1430655018
citybusstop_8705,신논현역.주류성빌딩,POINT (127.0257863 37.5010587),pedestrian_3054698333,localroad_1430655018
citybusstop_8706,신논현역.유화빌딩,POINT (127.025549 37.5015319),pedestrian_4867295786,localroad_1430655018
citybusstop_8707,신논현역.영신빌딩,POINT (127.0251477 37.5023781),pedestrian_12061673707,localroad_1430655018
citybusstop_8708,교보타워앞,POINT (127.0252377 37.5022998),pedestrian_12061673707,localroad_1430655018
citybusstop_8709,지하철2호선강남역(중),POINT (127.0257124 37.5017087),pedestrian_3146844230,localroad_1430655018
citybusstop_8710,교보타워앞,POINT (127.024935 37.502974),pedestrian_11034183378,localroad_1430655018
citybusstop_8711,롯데캐슬클래식.사랑의교회,POINT (127.0229572 37.4997374),pedestrian_1430655577,localroad_1430655577
citybusstop_8712,진흥아파트,POINT (127.024514 37.499373),pedestrian_1906756262,localroad_4944067989
citybusstop_8713,강남역.9번출구,POINT (127.0265475 37.4977272),pedestrian_9632500766,localroad_10220955579
citybusstop_8714,강남역.강남역사거리,POINT (127.026604 37.4977839),pedestrian_9632500766,localroad_8489896381
citybusstop_8715,강남역.뉴욕제과,POINT (127.0264405 37.4992095),pedestrian_4946614556,localroad_2280678683
citybusstop_8716,강남역.서초초교앞,POINT (127.0264125 37.4997574),pedestrian_2280678683,localroad_2280678683
citybusstop_8717,강남역,POINT (127.0263182 37.4999282),pedestrian_2280678683,localroad_2280678683
citybusstop_8718,서초푸르지오써밋.롯데캐슬클래식,POINT (127.0221683 37.5014758),pedestrian_1430655017,localroad_1430655026
citybusstop_8719,서초푸르지오써밋,POINT (127.0220641 37.5011658),pedestrian_1430655017,localroad_1430655026
citybusstop_8720,서초푸르지오써밋,POINT (127.0216821 37.5019661),pedestrian_12061668161,localroad_1430655026
citybusstop_8721,롯데캐슬클래식,POINT (127.0223727 37.5005035),pedestrian_8526783119,localroad_1430655577
citybusstop_8722,진흥아파트,POINT (127.0226916 37.4965521),pedestrian_10220955583,localroad_10220955583
citybusstop_8723,서초동진흥아파트,POINT (127.0227753 37.4965791),pedestrian_9621002342,localroad_10220955583
citybusstop_8724,진흥아파트,POINT (127.023703 37.4977233),pedestrian_4959609717,localroad_571449373
citybusstop_8725,반포센트럴푸르지오써밋아파트,POINT (127.0169971 37.5009216),pedestrian_3112829841,localroad_3112829841
citybusstop_8726,2호선교대역7번출구,POINT (127.0145663 37.4940798),pedestrian_12062647561,localroad_3355067055
citybusstop_8727,교대역6번출구,POINT (127.0137373 37.4941718),pedestrian_3154295735,localroad_3154295735
citybusstop_8728,교대역,POINT (127.0143808 37.4940321),pedestrian_12062647561,localroad_3355067055
citybusstop_8729,지하철2호선교대역4출구,POINT (127.0158386 37.4944725),pedestrian_9892967357,localroad_3355067057
citybusstop_8730,유원아파트,POINT (127.017861 37.4953796),pedestrian_12062647555,localroad_3355067063
citybusstop_8731,서초동유원아파트,POINT (127.0196095 37.4956488),pedestrian_3212514896,localroad_3355067065
citybusstop_8732,유원아파트,POINT (127.0196887 37.4956749),pedestrian_3212514896,localroad_3355067065
citybusstop_8733,서초아르누보호텔.유원아파트,POINT (127.0197746 37.4957073),pedestrian_3212514896,localroad_3355067068
citybusstop_8734,아크로비스타,POINT (127.0128253 37.4980214),pedestrian_12061668145,localroad_5628739393
citybusstop_8735,삼풍아파트,POINT (127.013679 37.499131),pedestrian_3112159938,localroad_3112159935
citybusstop_8736,반포고교,POINT (127.0161409 37.5012857),pedestrian_3112744471,localroad_3112159936
citybusstop_8737,현대4차아파트,POINT (127.0179934 37.50057),pedestrian_5745473858,localroad_3112164481
