uuid,node1_uuid,node2_uuid,distance,average_travel_time,geometry
pedestrian_69,pedestrian_436801370,pedestrian_3727772781,30.225,0.6045,"MultiLineString ((127.0307069 37.4737864, 127.0304993 37.4740026))"
pedestrian_70,pedestrian_436801370,pedestrian_11866584707,9.899,0.19798,"MultiLineString ((127.0307069 37.4737864, 127.0307702 37.4737129))"
pedestrian_71,pedestrian_436801374,pedestrian_436801370,80.316,1.60632,"MultiLineString ((127.029969 37.4733636, 127.0307069 37.4737864))"
pedestrian_72,pedestrian_436801374,pedestrian_436871835,48.568,0.97136,"MultiLineString ((127.029969 37.4733636, 127.02954 37.47309))"
pedestrian_73,pedestrian_436801374,pedestrian_8494490932,35.856,0.71712,"MultiLineString ((127.029969 37.4733636, 127.0298038 37.4736582))"
pedestrian_74,pedestrian_436816899,pedestrian_5819624307,130.609,2.61218,"MultiLineString ((127.0070822 37.5108092, 127.0076626 37.5097286))"
pedestrian_75,pedestrian_436816899,pedestrian_4147017219,65.397,1.30794,"MultiLineString ((127.0070822 37.5108092, 127.0064589 37.5104907))"
pedestrian_76,pedestrian_436816899,pedestrian_436816900,263.682,5.27364,"MultiLineString ((127.0070822 37.5108092, 127.0096393 37.5120376))"
pedestrian_77,pedestrian_436816899,pedestrian_4642340518,49.928,0.99856,"MultiLineString ((127.0070822 37.5108092, 127.0068827 37.5112294))"
pedestrian_78,pedestrian_436816900,pedestrian_4185626651,63.469,1.26938,"MultiLineString ((127.0096393 37.5120376, 127.0102551 37.5123329))"
pedestrian_79,pedestrian_436816900,pedestrian_436816899,263.682,5.27364,"MultiLineString ((127.0096393 37.5120376, 127.0070822 37.5108092))"
pedestrian_80,pedestrian_436816900,pedestrian_4185626642,43.802,0.87604,"MultiLineString ((127.0096393 37.5120376, 127.0094246 37.5123928))"
pedestrian_81,pedestrian_436816900,pedestrian_4185626652,204.731,4.09462,"MultiLineString ((127.0096393 37.5120376, 127.0096558 37.5120057, 127.0099287 37.5114775, 127.0105994 37.510362))"
pedestrian_82,pedestrian_436816903,pedestrian_2244637650,85.209,1.70418,"MultiLineString ((127.0133484 37.5138164, 127.0125217 37.5134199))"
pedestrian_83,pedestrian_436816903,pedestrian_8488915381,93.944,1.87888,"MultiLineString ((127.0133484 37.5138164, 127.0133712 37.5139202, 127.0135705 37.5146426))"
pedestrian_84,pedestrian_436816903,pedestrian_436859991,87.79,1.7558,"MultiLineString ((127.0133484 37.5138164, 127.0132362 37.5132813, 127.0132476 37.5130344))"
pedestrian_85,pedestrian_436817724,pedestrian_12061668126,8.101,0.16202,"MultiLineString ((127.0189247 37.5003746, 127.0188416 37.5004056))"
pedestrian_86,pedestrian_436817724,pedestrian_3112140343,11.077,0.22154,"MultiLineString ((127.0189247 37.5003746, 127.0190382 37.500332))"
pedestrian_87,pedestrian_436817724,pedestrian_1982932636,8.341,0.16682,"MultiLineString ((127.0189247 37.5003746, 127.0189694 37.5004407))"
pedestrian_88,pedestrian_436817728,pedestrian_12061668110,13.436,0.26872,"MultiLineString ((127.0154205 37.5018045, 127.0155185 37.501897))"
pedestrian_89,pedestrian_436817728,pedestrian_3112159936,65.686,1.31372,"MultiLineString ((127.0154205 37.5018045, 127.0160723 37.5015189))"
pedestrian_90,pedestrian_436817728,pedestrian_12061668112,18.876,0.37752,"MultiLineString ((127.0154205 37.5018045, 127.0153168 37.5018549, 127.0152379 37.501893))"
pedestrian_91,pedestrian_436817738,pedestrian_12061668152,16.69,0.3338,"MultiLineString ((127.0115903 37.5024989, 127.0114247 37.5025715))"
pedestrian_92,pedestrian_436817738,pedestrian_12061668102,43.49,0.8698,"MultiLineString ((127.0115903 37.5024989, 127.0113823 37.5028535))"
pedestrian_93,pedestrian_436817738,pedestrian_12061668099,18.928,0.37856,"MultiLineString ((127.0115903 37.5024989, 127.011791 37.5025591))"
pedestrian_94,pedestrian_436817738,pedestrian_12061668092,8.057,0.16114,"MultiLineString ((127.0115903 37.5024989, 127.0116114 37.5024284))"
pedestrian_95,pedestrian_436830485,pedestrian_5318435375,26.716,0.53432,"MultiLineString ((127.0129176 37.4806512, 127.0131965 37.4807447))"
pedestrian_96,pedestrian_436830485,pedestrian_436830486,5.852,0.11704,"MultiLineString ((127.0129176 37.4806512, 127.0128591 37.4806264))"
pedestrian_97,pedestrian_436830485,pedestrian_5406500183,13.212,0.26424,"MultiLineString ((127.0129176 37.4806512, 127.012969 37.4805396))"
pedestrian_98,pedestrian_436830485,pedestrian_11431861761,19.032,0.38064,"MultiLineString ((127.0129176 37.4806512, 127.0128437 37.480812))"
pedestrian_99,pedestrian_436830486,pedestrian_436830485,5.852,0.11704,"MultiLineString ((127.0128591 37.4806264, 127.0129176 37.4806512))"
pedestrian_100,pedestrian_436830486,pedestrian_11431820852,13.583,0.27166,"MultiLineString ((127.0128591 37.4806264, 127.0129214 37.4805147))"
pedestrian_101,pedestrian_436830486,pedestrian_2124836393,30.266,0.60532,"MultiLineString ((127.0128591 37.4806264, 127.0126656 37.4805379, 127.0125628 37.4804893))"
