uuid,name,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
office_121,,서울특별시 서초구 서초동 1628-25,POINT (127.0177845 37.48915521),3.8,pedestrian_9602018599,localroad_3827258682
office_122,한국지방세연구원,서울특별시 서초구 양재동 352-5,POINT (127.04347773 37.46653216),3.6,pedestrian_4184585497,localroad_4184585497
office_123,,서울특별시 서초구 양재동 122-6,POINT (127.03770091 37.47543691),3.5,pedestrian_1858938777,localroad_1858938777
office_124,춘광빌딩,서울특별시 서초구 서초동 1703-6,POINT (127.01130576 37.49449233),2.8,pedestrian_3153680662,localroad_3153680662
office_125,,서울특별시 서초구 서초동 1340,POINT (127.03024952 37.48883189),4.1,pedestrian_9608955285,localroad_3690640321
office_126,삼호물산빌딩,서울특별시 서초구 양재동 275-1,POINT (127.04439459 37.47718396),3.6,pedestrian_3011650447,localroad_3011650447
office_127,교보생명보험(주) 서초사옥,서울특별시 서초구 서초동 1303-22,POINT (127.02412844 37.503785),2.8,pedestrian_11034183374,localroad_2477265735
office_128,,서울특별시 서초구 양재동 232,POINT (127.04053332 37.46701876),3.1,pedestrian_9693971041,localroad_4865811267
office_129,BH빌딩,서울특별시 서초구 방배동 902-5,POINT (126.99569357 37.48522415),2.9,pedestrian_4185805717,localroad_4185805689
office_130,,서울특별시 서초구 양재동 45597,POINT (127.03544521 37.48452309),2.5,pedestrian_11431861720,localroad_4184399724
office_131,,서울특별시 서초구 방배동 537-6,POINT (126.98929226 37.47833831),3.9,pedestrian_1696934679,localroad_1696934679
office_132,,서울특별시 서초구 서초동 1579-9,POINT (127.01374676 37.48832932),3.5,pedestrian_1965713727,localroad_1965713727
office_133,,서울특별시 서초구 양재동 327-3,POINT (127.04092706 37.46915525),2.6,pedestrian_1925498333,localroad_1925498333
office_134,서초현대렉시온,서울특별시 서초구 서초동 1338-20,POINT (127.0306372 37.49019335),4.1,pedestrian_3826341157,localroad_3826341157
office_135,,서울특별시 서초구 서초동 1461-9,POINT (127.01157471 37.48286022),3.6,pedestrian_5318435365,localroad_5318435365
office_136,,서울특별시 서초구 방배동 869-8,POINT (126.98950507 37.48699114),4.6,pedestrian_3804191175,localroad_3804191175
office_137,하수시설물유지관리센터,서울특별시 서초구 반포동 45337,POINT (126.99607446 37.49989751),4,pedestrian_4140672223,localroad_2385987945
office_138,,서울특별시 서초구 서초동 1717-7,POINT (127.0102931 37.49291192),2.6,pedestrian_3154300014,localroad_3154300014
office_139,서초동 근생,서울특별시 서초구 서초동 1720-8,POINT (127.00748671 37.49304608),3,pedestrian_7888195570,localroad_3221788791
office_140,,서울특별시 서초구 서초동 1544-1,POINT (127.00932384 37.48926089),3.6,pedestrian_3827338125,localroad_3827338125
office_141,,서울특별시 서초구 서초동 1581-13,POINT (127.01041397 37.4873413),4.5,pedestrian_3040833070,localroad_3040833070
office_142,비선빌딩,서울특별시 서초구 서초동 1489-2,POINT (127.00507549 37.48253354),4.3,pedestrian_1925407818,localroad_1925407818
office_143,강남역 한화오벨리스크,서울특별시 서초구 서초동 1327-27,POINT (127.02727522 37.49529227),2.9,pedestrian_9711448918,localroad_3825549699
office_144,,서울특별시 서초구 서초동 1338-5,POINT (127.02976147 37.48989364),3,pedestrian_3826341158,localroad_3826341158
office_145,서초3동 우체국,서울특별시 서초구 서초동 1539-1,POINT (127.00852743 37.4890326),3.2,pedestrian_3242832581,localroad_3242832581
office_146,,서울특별시 서초구 양재동 25569,POINT (127.03638323 37.4769159),2.9,pedestrian_1857470433,localroad_1857470433
office_147,,서울특별시 서초구 서초동 1589-7,POINT (127.01305334 37.48554741),2.9,pedestrian_1965713733,localroad_1965713733
office_148,큐브플러스,서울특별시 서초구 서초동 1598-1,POINT (127.01429387 37.48808189),3.4,pedestrian_1965713727,localroad_1965713727
office_149,BNK 디지털타워,서울특별시 서초구 서초동 1321-11,POINT (127.02512113 37.49664163),2.9,pedestrian_9621002488,localroad_2690624934
office_150,,서울특별시 서초구 서초동 1687-1,POINT (127.01779953 37.49561162),3,pedestrian_3112174500,localroad_3112865086
office_151,서초리슈빌S글로벌,서울특별시 서초구 우면동 787,POINT (127.02444359 37.45974252),3.7,pedestrian_3634016483,localroad_3634016490
office_152,삼성전자 서초사옥,서울특별시 서초구 서초동 1320-10,POINT (127.02691231 37.4966329),3.9,pedestrian_3825549715,localroad_9711448980
office_153,,서울특별시 서초구 서초동 1675-13,POINT (127.01759013 37.49460185),3.5,pedestrian_3355067061,localroad_3355067061
office_154,,서울특별시 서초구 서초동 1657-4,POINT (127.01418407 37.49256413),3.3,pedestrian_3030832647,localroad_3030832647
office_155,대우도씨에빛,서울특별시 서초구 서초동 1328-7,POINT (127.02836274 37.49533177),3.3,pedestrian_4865883248,localroad_571448678
office_156,태우빌딩(서관),서울특별시 서초구 서초동 1357-75,POINT (127.03134418 37.48863165),2.6,pedestrian_6337030235,localroad_3609069729
office_157,스카이레이크 빌딩,서울특별시 서초구 양재동 45364,POINT (127.04202856 37.48327813),3.6,pedestrian_1694783131,localroad_1694783131
office_158,농협유통전자센터,서울특별시 서초구 양재동 214,POINT (127.03600177 37.46393927),2.9,pedestrian_8496390616,localroad_1551437362
office_159,,서울특별시 서초구 서초동 1425-10,POINT (127.02005624 37.48313965),4.6,pedestrian_3827257102,localroad_3827257102
office_160,,서울특별시 서초구 양재동 402-4,POINT (127.05021907 37.47184859),3.4,pedestrian_927740145,localroad_927740145
office_161,,서울특별시 서초구 잠원동 45400,POINT (127.01677405 37.5150275),4.3,pedestrian_3088864938,localroad_3088864938
office_162,,서울특별시 서초구 양재동 7-42,POINT (127.04057772 37.48292681),3,pedestrian_1694783036,localroad_1694783036
office_163,,서울특별시 서초구 반포동 751,POINT (126.98107464 37.50406336),2.7,pedestrian_5909736454,localroad_5909736454
office_164,서초지웰타워,서울특별시 서초구 서초동 1678-4,POINT (127.02026243 37.49541663),3,pedestrian_3355067068,localroad_3355067068
office_165,,서울특별시 서초구 서초동 1631-6,POINT (127.02211515 37.49039682),2.8,pedestrian_3800522720,localroad_3800522720
office_166,건영빌딩,서울특별시 서초구 양재동 45488,POINT (127.03838568 37.48097198),4.4,pedestrian_1694782727,localroad_1694782638
office_167,,서울특별시 서초구 양재동 261-3,POINT (127.04088592 37.47442052),4.3,pedestrian_1925498657,localroad_1925498657
office_168,다호 우람관,서울특별시 서초구 서초동 1376-1,POINT (127.03093665 37.48266139),4.8,pedestrian_3734652007,localroad_10581083706
office_169,월드브리지빌딩,서울특별시 서초구 양재동 30164,POINT (127.04129863 37.47980916),3.2,pedestrian_4184424781,localroad_4184424781
office_170,백아빌딩,서울특별시 서초구 서초동 1668-20,POINT (127.01833372 37.49385142),4.5,pedestrian_2295372304,localroad_2295372304
office_171,모인터빌딩,서울특별시 서초구 서초동 1675-12,POINT (127.01732963 37.49448899),4,pedestrian_3355067061,localroad_3355067061
office_172,,서울특별시 서초구 서초동 1715-9,POINT (127.01303419 37.49376185),4,pedestrian_12062647673,localroad_3153683163
office_173,,서울특별시 서초구 양재동 27426,POINT (127.03519262 37.47605191),3.3,pedestrian_4184411289,localroad_4184411289
office_174,디지털증거수집분석센터,서울특별시 서초구 서초동 1730-1,POINT (127.00436159 37.49367521),4.3,pedestrian_3221756611,localroad_2622767602
office_175,하림인터내셔날 오피스텔,서울특별시 서초구 서초동 1674-5,POINT (127.01619008 37.49406827),3.3,pedestrian_3827548470,localroad_3827548470
office_176,,서울특별시 서초구 서초동 1572-7,POINT (127.01238915 37.49297524),2.9,pedestrian_2368063910,localroad_2368063910
office_177,,서울특별시 서초구 양재동 262,POINT (127.0417834 37.47543506),2.9,pedestrian_1925498766,localroad_1925498766
office_178,향천빌딩,서울특별시 서초구 양재동 82,POINT (127.04033598 37.47861084),3,pedestrian_1925499043,localroad_1925499043
office_179,신영빌딩,서울특별시 서초구 서초동 1597-1,POINT (127.01297906 37.48764833),3.3,pedestrian_1965713684,localroad_1965713684
office_180,서울법원종합청사 신관,서울특별시 서초구 서초동 1701-1,POINT (127.01142084 37.49852744),2.6,pedestrian_5628739386,localroad_5628739386
office_181,서울행정법원청사,서울특별시 서초구 서초동 1701-1,POINT (127.01081963 37.49748864),4.4,pedestrian_10899721236,localroad_5628739389
office_182,송현 나이스빌,서울특별시 서초구 서초동 1492-8,POINT (127.00353646 37.48416515),2.6,pedestrian_1925407856,localroad_1925407856
office_183,,서울특별시 서초구 방배동 529-3,POINT (126.988309 37.47783224),3.3,pedestrian_436882865,localroad_436882865
office_184,장산빌딩,서울특별시 서초구 방배동 901-1,POINT (126.99511365 37.48602244),3.8,pedestrian_4185805742,localroad_436844221
office_185,,서울특별시 서초구 양재동 232,POINT (127.04032804 37.46681426),2.7,pedestrian_9693971041,localroad_4865811267
office_186,서울법원 어린이집,서울특별시 서초구 서초동 1701-1,POINT (127.01155141 37.49802827),4.6,pedestrian_10899721246,localroad_5628739390
office_187,은곡빌딩,서울특별시 서초구 서초동 1708-5,POINT (127.00819105 37.49339086),4,pedestrian_3827548457,localroad_3827548457
office_188,,서울특별시 서초구 서초동 1577-4,POINT (127.01406856 37.48938745),3.6,pedestrian_3827547990,localroad_3827547990
office_189,단우빌딩,서울특별시 서초구 방배동 852-22,POINT (126.9919442 37.48956849),3.5,pedestrian_2509978199,localroad_2509978199
office_190,,서울특별시 서초구 서초동 1534-2,POINT (127.01085858 37.48454333),4.3,pedestrian_3137470633,localroad_3137470633
office_191,,서울특별시 서초구 양재동 24504,POINT (127.03796236 37.47895275),4,pedestrian_1925499159,localroad_1925499159
office_192,,서울특별시 서초구 서초동 1701-1,POINT (127.0105685 37.4954641),4.1,pedestrian_5628739380,localroad_5628739380
office_193,대한건축사협회,서울특별시 서초구 서초동 1603-55,POINT (127.01873413 37.48599882),3.8,pedestrian_3827258466,localroad_3827258466
office_194,,서울특별시 서초구 양재동 289,POINT (127.04745455 37.47328804),3.8,pedestrian_1925498546,localroad_1925498546
office_195,한국특수지상사(주)사옥,서울특별시 서초구 양재동 45551,POINT (127.03931289 37.48003132),4.4,pedestrian_1694782561,localroad_1694782561
office_196,서울검찰청사 신관,서울특별시 서초구 서초동 1724,POINT (127.00952904 37.49501851),4.8,pedestrian_2388053963,localroad_2388053963
office_197,,서울특별시 서초구 양재동 45571,POINT (127.03780499 37.48336851),4.6,pedestrian_1694783154,localroad_1694783154
office_198,서울중앙지방법원 등기국 청사,서울특별시 서초구 서초동 1707-4,POINT (127.00865844 37.49366489),4.1,pedestrian_3827548457,localroad_3827548457
office_199,,서울특별시 서초구 양재동 218,POINT (127.03496152 37.4634543),2.7,pedestrian_10939483798,localroad_6595905186
office_200,남경빌딩,서울특별시 서초구 양재동 111,POINT (127.03679294 37.47623661),3.4,pedestrian_1858938795,localroad_1858938795
office_201,소프트웨어벤처프라자,서울특별시 서초구 서초동 1708-2,POINT (127.00798589 37.49377052),4.9,pedestrian_3154300017,localroad_3154300017
office_202,가동,서울특별시 서초구 서초동 1679-5,POINT (127.0208551 37.49518845),2.9,pedestrian_2295372302,localroad_2295372302
office_203,RSM 빌딩,서울특별시 서초구 양재동 255-2,POINT (127.04239044 37.47332337),3.8,pedestrian_1925498574,localroad_1925498574
office_204,,서울특별시 서초구 양재동 257-4,POINT (127.04234474 37.47455619),3,pedestrian_4184618632,localroad_4184618632
office_205,,서울특별시 서초구 서초동 1490-32,POINT (127.00367444 37.4828289),4.5,pedestrian_1925407827,localroad_1925407827
office_206,우민빌딩,서울특별시 서초구 서초동 1694-8,POINT (127.01367001 37.49521241),2.8,pedestrian_3827548480,localroad_3827548480
office_207,,서울특별시 서초구 서초동 1695-4,POINT (127.01478369 37.49535118),3.7,pedestrian_3827548488,localroad_3827548488
office_208,,서울특별시 서초구 방배동 831-9,POINT (126.98819642 37.48908998),3.3,pedestrian_3804191211,localroad_3804191211
office_209,,서울특별시 서초구 양재동 232,POINT (127.04162624 37.46629295),3.2,pedestrian_9693971091,localroad_2817764777
office_210,,서울특별시 서초구 서초동 1487-7,POINT (127.00714475 37.483026),5,pedestrian_4185715632,localroad_4185715632
office_211,여권민원실,서울특별시 서초구 서초동 1376-3,POINT (127.03235813 37.48368991),2.5,pedestrian_11214916683,localroad_1859712487
office_212,,서울특별시 서초구 서초동 1701-1,POINT (127.0125711 37.4969056),4.2,pedestrian_12061668147,localroad_5628739387
office_213,,서울특별시 서초구 방배동 868-21,POINT (126.98897324 37.48653595),4.2,pedestrian_3804191172,localroad_3804191161
office_214,,서울특별시 서초구 서초동 1699-1,POINT (127.01331084 37.4965774),2.6,pedestrian_12062647670,localroad_3339367713
office_215,,서울특별시 서초구 서초동 1696-14,POINT (127.01570387 37.49504345),4.1,pedestrian_3112239220,localroad_3112239220
office_216,,서울특별시 서초구 서초동 1694-1,POINT (127.01366689 37.49540194),3.5,pedestrian_12062647669,localroad_3827548482
office_217,,서울특별시 서초구 잠원동 39-13,POINT (127.01896356 37.51136618),4.1,pedestrian_4181527978,localroad_4181527978
office_218,,서울특별시 서초구 잠원동 39-15,POINT (127.01888028 37.51156056),2.6,pedestrian_4181527979,localroad_4181527979
office_219,,서울특별시 서초구 서초동 1600-9,POINT (127.01511157 37.48587428),5,pedestrian_3827258462,localroad_3827257146
office_220,,서울특별시 서초구 방배동 983-11,POINT (126.99906774 37.47996613),2.6,pedestrian_436844215,localroad_436844215
office_221,,서울특별시 서초구 방배동 1002-5,POINT (127.00481652 37.4812811),3.9,pedestrian_1430677314,localroad_1430677314
office_222,양재1동민원종합청사,서울특별시 서초구 우면동 24869,POINT (127.02670822 37.47163642),3.2,pedestrian_4634856432,localroad_4634856432
office_223,,서울특별시 서초구 양재동 107,POINT (127.035842 37.47601335),4.6,pedestrian_1925498849,localroad_1925498849
office_224,,서울특별시 서초구 잠원동 45580,POINT (127.01648375 37.51530086),3.5,pedestrian_8553388317,localroad_3088864940
office_225,,서울특별시 서초구 양재동 232,POINT (127.03972554 37.46654481),4.7,pedestrian_9693971056,localroad_4865811267
office_226,위너스마당,서울특별시 서초구 방배동 1823,POINT (126.98279384 37.48861236),3.5,pedestrian_3804191210,localroad_3804191207
office_227,크레신타워-Ⅰ,서울특별시 서초구 잠원동 45528,POINT (127.01850246 37.51811164),3.1,pedestrian_9891988114,localroad_600377807
office_228,,서울특별시 서초구 방배동 455-10,POINT (126.98334042 37.48174478),4.2,pedestrian_4101372789,localroad_4101372789
office_229,,서울특별시 서초구 서초동 1365-9,POINT (127.03138978 37.48448083),4.9,pedestrian_5406399767,localroad_5406399767
office_230,,서울특별시 서초구 방배동 1002-6,POINT (127.00487013 37.48114429),5,pedestrian_1430677314,localroad_1430677314
office_231,동원산업빌딩,서울특별시 서초구 양재동 275,POINT (127.04402891 37.47772161),3.4,pedestrian_3693412483,localroad_3693412483
office_232,,서울특별시 서초구 서초동 1656-10,POINT (127.01451491 37.49199452),2.5,pedestrian_3827548039,localroad_3827548039
office_233,,서울특별시 서초구 반포동 746-12,POINT (127.02197521 37.50405226),4.1,pedestrian_2281095533,localroad_2477340257
office_234,,서울특별시 서초구 서초동 1714-17,POINT (127.01312146 37.49438852),3.6,pedestrian_3827548474,localroad_3827548474
office_235,,서울특별시 서초구 방배동 1022-3,POINT (126.99936848 37.47948905),3.3,pedestrian_1696934689,localroad_1696934689
office_236,방배동로고스빌딩,서울특별시 서초구 방배동 880-11,POINT (126.99655607 37.48885793),4.4,pedestrian_7513740461,localroad_7513740461
office_237,,서울특별시 서초구 서초동 1692-5,POINT (127.01505906 37.49458898),4.3,pedestrian_3112174493,localroad_3112174493
office_238,도서출판흰물결사옥,서울특별시 서초구 서초동 1720-4,POINT (127.00724577 37.49340441),4.5,pedestrian_3222388849,localroad_3153680863
office_239,,서울특별시 서초구 반포동 18963,POINT (127.01172806 37.50069175),4.4,pedestrian_12061668136,localroad_1962358596
office_240,성산빌딩,서울특별시 서초구 방배동 983-41,POINT (126.99882604 37.48031119),2.7,pedestrian_436844215,localroad_436844215
office_241,,서울특별시 서초구 우면동 33756,POINT (127.02181831 37.47144442),3.6,pedestrian_4634856272,localroad_4634856272
office_242,,서울특별시 서초구 서초동 1712-2,POINT (127.01165533 37.49400732),3.4,pedestrian_3153680761,localroad_3153680761
office_243,서초경찰서청사,서울특별시 서초구 서초동 1726-1,POINT (127.00516206 37.49572041),4.1,pedestrian_3221788778,localroad_3221788778
office_244,법률센터,서울특별시 서초구 서초동 1699-8,POINT (127.01346375 37.49609851),4.1,pedestrian_2103866974,localroad_2103866974
office_245,,서울특별시 서초구 양재동 272-12,POINT (127.04441153 37.4745995),3.6,pedestrian_3011545195,localroad_3011545195
office_246,,서울특별시 서초구 방배동 917-1,POINT (126.99347632 37.48076099),2.9,pedestrian_1696934697,localroad_1696934697
office_247,,서울특별시 서초구 서초동 1641-6,POINT (127.02030988 37.49226145),3.2,pedestrian_4634291419,localroad_4634291419
office_248,,서울특별시 서초구 서초동 1730-1,POINT (127.00367196 37.49334414),4.7,pedestrian_3221756607,localroad_2622767602
office_249,,서울특별시 서초구 서초동 1705,POINT (127.01001723 37.49416665),4.9,pedestrian_3153680961,localroad_3153680961
office_250,,서울특별시 서초구 서초동 1592-2,POINT (127.01175022 37.48671404),3.3,pedestrian_1965713697,localroad_1965713697
office_251,,서울특별시 서초구 방배동 446-27,POINT (126.98442374 37.47671713),4,pedestrian_2110341090,localroad_2110341090
office_252,,서울특별시 서초구 양재동 25600,POINT (127.03623811 37.47679809),4.1,pedestrian_1925498917,localroad_1925498917
office_253,J.LINE,서울특별시 서초구 서초동 1534-1,POINT (127.01056726 37.48441927),3.6,pedestrian_3089166491,localroad_3089166491
office_254,코스모빌딩,서울특별시 서초구 서초동 1534-5,POINT (127.01085793 37.48423495),4.3,pedestrian_3137470632,localroad_3137470632
office_255,,서울특별시 서초구 서초동 1538-7,POINT (127.00922386 37.48782147),3.4,pedestrian_3089166481,localroad_3089166481
office_256,유민빌딩,서울특별시 서초구 서초동 1538-9,POINT (127.00909789 37.48813579),2.9,pedestrian_3827338105,localroad_3827338105
office_257,,서울특별시 서초구 서초동 1690-3,POINT (127.01729249 37.49503256),2.8,pedestrian_3112865086,localroad_3112865086
office_258,양진빌딩,서울특별시 서초구 서초동 1719-4,POINT (127.00798179 37.49241557),3.4,pedestrian_3154300013,localroad_3154300013
office_259,,서울특별시 서초구 서초동 1572-1,POINT (127.01135661 37.49267454),3.4,pedestrian_3355067046,localroad_3355067046
office_260,사조대림방배동사옥,서울특별시 서초구 방배동 482-2,POINT (126.9890048 37.47563184),3.7,pedestrian_1696934641,localroad_1696934641
office_261,홍우빌딩,서울특별시 서초구 서초동 1328,POINT (127.02807677 37.49600206),2.7,pedestrian_9632500793,localroad_3087683154
office_262,탑빌딩,서울특별시 서초구 서초동 1337-9,POINT (127.02939774 37.49151945),4.9,pedestrian_3825549661,localroad_3825549661
