area_use,area_supply,space,rooms,restrooms,entrance,management_fee_year,management_fee_summer,management_fee_winter,floor_plan_url,households,area_supply_pyeong,uuid,apartment_uuid
121.65,151.33,151A㎡,3,2,계단식,313545.0,388805.0,292846.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=6,53,45,apartmenttype_71,apartment_1165010116
147.72,175.57,175㎡,4,2,계단식,380721.0,472105.0,355587.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=8,118,53,apartmenttype_72,apartment_1165010116
216.27,251.51,251㎡,5,3,계단식,557405.0,691198.0,520607.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=9,30,76,apartmenttype_73,apartment_1165010116
102.93,124.65,124B㎡,3,2,계단식,233010.0,250193.0,234090.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11139&ptpId=2,84,37,apartmenttype_74,apartment_1165010117
103.34,125.49,125A㎡,3,2,계단식,233938.0,251189.0,235023.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11139&ptpId=1,88,38,apartmenttype_75,apartment_1165010117
134.36,157.64,157B㎡,4,2,계단식,304160.0,326590.0,305570.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11139&ptpId=4,84,47,apartmenttype_76,apartment_1165010117
134.96,158.44,158A㎡,4,2,계단식,305518.0,328048.0,306935.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11139&ptpId=3,88,48,apartmenttype_77,apartment_1165010117
105.04,113.05,113㎡,3,1,복도식,245202.0,278314.0,238994.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=470&ptpId=1,117,34,apartmenttype_78,apartment_1165010118
164.55,179.02,179㎡,5,2,계단식,388417.0,435992.0,295199.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=470&ptpId=4,52,54,apartmenttype_79,apartment_1165010118
164.97,180.22,180㎡,5,2,계단식,385101.0,437105.0,375351.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=470&ptpId=2,96,54,apartmenttype_80,apartment_1165010118
185.46,202.95,202㎡,6,2,계단식,432932.0,491396.0,421971.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=470&ptpId=3,216,61,apartmenttype_81,apartment_1165010118
84.74,98.9,98㎡,3,2,계단식,317566.0,280097.0,248410.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9657&ptpId=1,24,29,apartmenttype_82,apartment_1165010119
124.56,145.38,145㎡,4,2,계단식,466827.0,411747.0,365166.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9657&ptpId=2,56,44,apartmenttype_83,apartment_1165010119
147.45,172.09,172㎡,4,2,계단식,552586.0,487387.0,432249.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9657&ptpId=3,1,52,apartmenttype_84,apartment_1165010119
149.22,174.16,174㎡,4,2,계단식,559226.0,493243.0,437444.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9657&ptpId=4,141,52,apartmenttype_85,apartment_1165010119
95.66,115.58,115㎡,3,2,계단식,249972.0,266894.0,259002.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=1,74,35,apartmenttype_86,apartment_1165010120
103.7,125.29,125㎡,3,2,계단식,270982.0,289326.0,280771.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=2,25,37,apartmenttype_87,apartment_1165010120
120.22,145.25,145㎡,4,2,계단식,314151.0,335417.0,325499.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=3,2,44,apartmenttype_88,apartment_1165010120
121.75,147.1,147A㎡,4,2,계단식,318149.0,339685.0,329642.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=4,2,44,apartmenttype_89,apartment_1165010120
124.27,150.14,150B㎡,4,2,계단식,324734.0,346716.0,336465.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=5,58,45,apartmenttype_90,apartment_1165010120
148.9,179.9,179㎡,4,2,계단식,389096.0,415435.0,403152.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=6,18,54,apartmenttype_91,apartment_1165010120
