uuid,uuid_specialpurposearea,uuid_districtboundarydong
"195",specialpurposearea_195,districtboundarydong_11650107
"196",specialpurposearea_196,districtboundarydong_11650107
"197",specialpurposearea_197,districtboundarydong_11650107
"198",specialpurposearea_198,districtboundarydong_11650107
"199",specialpurposearea_199,districtboundarydong_11650107
"200",specialpurposearea_200,districtboundarydong_11650107
"201",specialpurposearea_201,districtboundarydong_11650107
"202",specialpurposearea_202,districtboundarydong_11650107
"203",specialpurposearea_203,districtboundarydong_11650107
"204",specialpurposearea_204,districtboundarydong_11650107
"205",specialpurposearea_205,districtboundarydong_11650107
"206",specialpurposearea_206,districtboundarydong_11650107
"207",specialpurposearea_207,districtboundarydong_11650107
"208",specialpurposearea_208,districtboundarydong_11650107
"209",specialpurposearea_209,districtboundarydong_11650107
"210",specialpurposearea_210,districtboundarydong_11650107
"211",specialpurposearea_211,districtboundarydong_11650107
"212",specialpurposearea_212,districtboundarydong_11650107
"213",specialpurposearea_213,districtboundarydong_11650107
"214",specialpurposearea_214,districtboundarydong_11650107
"215",specialpurposearea_215,districtboundarydong_11650107
"216",specialpurposearea_216,districtboundarydong_11650107
"217",specialpurposearea_217,districtboundarydong_11650107
"218",specialpurposearea_218,districtboundarydong_11650107
"219",specialpurposearea_219,districtboundarydong_11650107
"220",specialpurposearea_220,districtboundarydong_11650107
"221",specialpurposearea_221,districtboundarydong_11650107
"222",specialpurposearea_222,districtboundarydong_11650107
"223",specialpurposearea_223,districtboundarydong_11650107
"224",specialpurposearea_224,districtboundarydong_11650107
"225",specialpurposearea_225,districtboundarydong_11650107
"226",specialpurposearea_226,districtboundarydong_11650107
"227",specialpurposearea_227,districtboundarydong_11650107
"228",specialpurposearea_228,districtboundarydong_11650107
"229",specialpurposearea_229,districtboundarydong_11650107
"230",specialpurposearea_230,districtboundarydong_11650107
"231",specialpurposearea_231,districtboundarydong_11650107
"232",specialpurposearea_232,districtboundarydong_11650107
"233",specialpurposearea_233,districtboundarydong_11650107
"234",specialpurposearea_234,districtboundarydong_11650107
"235",specialpurposearea_235,districtboundarydong_11650107
"236",specialpurposearea_236,districtboundarydong_11650107
"237",specialpurposearea_237,districtboundarydong_11650107
"238",specialpurposearea_238,districtboundarydong_11650107
"239",specialpurposearea_239,districtboundarydong_11650107
"240",specialpurposearea_240,districtboundarydong_11650107
"241",specialpurposearea_241,districtboundarydong_11650107
"242",specialpurposearea_242,districtboundarydong_11650107
"243",specialpurposearea_243,districtboundarydong_11650107
"244",specialpurposearea_244,districtboundarydong_11650107
"245",specialpurposearea_245,districtboundarydong_11650107
"246",specialpurposearea_246,districtboundarydong_11650107
"247",specialpurposearea_247,districtboundarydong_11650107
