latitude,longitude,altitude,geometry,name,district,lat,lon,type,level,homepage,uuid
37.4852056,126.998849,,Point,서울방일초등학교,서울방현초통학구역,37.4852056,126.998849,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000756,30
37.49156467,127.025618,,Point,서울서이초등학교,서울서이초통학구역,37.49156467,127.025618,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000762,31
37.48529778,127.0221598,,Point,서울서일초등학교,서울서이초통학구역,37.48529778,127.0221598,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000763,32
37.49904877,127.0248915,,Point,서울서초초등학교,서울서이초통학구역,37.49904877,127.0248915,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000764,33
37.5024389,127.0146195,,Point,서울서원초등학교,서울서이초통학구역,37.5024389,127.0146195,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000761,34
37.501859,126.9980966,,Point,서울잠원초등학교,서울잠원초통학구역,37.501859,126.9980966,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000783,35
37.5049159,126.9968257,,Point,계성초등학교,서울잠원초통학구역,37.5049159,126.9968257,사립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100002365,36
37.496404,126.9901565,,Point,서울서래초등학교,서울서래초통학구역,37.496404,126.9901565,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000760,37
37.45709258,127.0192756,,Point,서울우솔초등학교,서울우솔초통학구역,37.45709258,127.0192756,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100005830,38
37.46471047,127.0237894,,Point,서울우면초등학교,서울우솔초통학구역,37.46471047,127.0237894,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100005549,39
37.47229555,127.0237234,,Point,서울우암초등학교,서울우솔초통학구역,37.47229555,127.0237234,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000778,40
37.510312,127.0040536,,Point,서울반원초등학교,서울반원초통학구역,37.510312,127.0040536,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000753,41
37.50248483,126.9917416,,Point,서울반포초등학교,서울반원초통학구역,37.50248483,126.9917416,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000754,42
37.47837133,126.9844171,,Point,서울이수초등학교,서울이수초통학구역,37.47837133,126.9844171,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000781,43
37.51713004,127.0113904,,Point,서울신동초등학교,서울신동초통학구역,37.51713004,127.0113904,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000767,44
37.47416538,127.0318861,,Point,서울양재초등학교,서울양재초통학구역,37.47416538,127.0318861,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000770,45
37.48015788,127.0093433,,Point,서울신중초등학교,서울신중초통학구역,37.48015788,127.0093433,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000768,46
37.50079587,127.0167076,,Point,서울원명초등학교,서울원명초통학구역,37.50079587,127.0167076,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000779,47
37.50618948,127.0125656,,Point,서울원촌초등학교,서울원명초통학구역,37.50618948,127.0125656,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000780,48
